X(TI)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_NB	CPU_MU_TI	GPU_MU_NB	GPU_MU_TI	MU_NB_DIFF	MU_TI_DIFF	STATUS
0.4	800	-35504.861550318012	-35504.861518131751	0.000032186261	-37685.041812458257	-32234.591157107774	-37685.041816246005	-32234.591151303051	0.000003787747	0.000005804723	PASS
0.4	900	-42479.420300286074	-42479.420259644830	0.000040641244	-44460.542064746180	-39507.737653595919	-44460.542081390005	-39507.737628482777	0.000016643826	0.000025113142	PASS
0.4	1000	-49763.326052415003	-49763.326005296025	0.000047118978	-51543.016414266363	-47093.790509637969	-51543.016450429815	-47093.790455220354	0.000036163452	0.000054417615	PASS
0.5	500	-16774.190278246770	-16774.190278247246	0.000000000477	-19764.293346351482	-13784.087210142015	-19764.293346331306	-13784.087210128646	0.000000020176	0.000000013370	PASS
0.5	600	-22271.699760757452	-22271.699760758718	0.000000001266	-25191.946820622074	-19351.452700892871	-25191.946820595873	-19351.452700874452	0.000000026201	0.000000018419	PASS
0.5	700	-28346.465961481394	-28346.465961486436	0.000000005042	-31192.850577251687	-25500.081345711162	-31192.850577217847	-25500.081345688286	0.000000033840	0.000000022876	PASS
0.5	800	-34954.503695407941	-34954.503717097126	0.000021689186	-37723.694879628791	-32185.312511186086	-37723.694878569491	-32185.312512146727	0.000001059299	0.000000960641	PASS
0.5	900	-41961.856346123670	-41961.856366574255	0.000020450585	-44650.786390313173	-39272.926301934123	-44650.786382949649	-39272.926309179107	0.000007363524	0.000007244984	PASS
0.5	1000	-49279.149225232846	-49279.149244436958	0.000019204112	-51884.851998229700	-46673.446452235978	-51884.851984953930	-46673.446465372203	0.000013275770	0.000013136225	PASS
0.6	500	-16176.169664625866	-16176.169664626301	0.000000000435	-19764.293346351500	-13784.087210142030	-19764.293346331335	-13784.087210128659	0.000000020165	0.000000013371	PASS
0.6	600	-21687.650348794887	-21687.650348785806	0.000000009080	-25191.946820622063	-19351.452700892860	-25191.946820595927	-19351.452700874408	0.000000026135	0.000000018452	PASS
0.6	700	-27777.189038326964	-27777.189038332377	0.000000005413	-31192.850577251680	-25500.081345711213	-31192.850577218062	-25500.081345687981	0.000000033619	0.000000023232	PASS
0.6	800	-34397.185076629372	-34397.185153068516	0.000076439144	-37772.973525550507	-32146.659444015488	-37772.973512261553	-32146.659452795560	0.000013288955	0.000008780073	PASS
0.6	900	-41403.848282610263	-41403.848373504559	0.000090894297	-44885.597741974969	-39082.681976367116	-44885.597694092510	-39082.682008193005	0.000047882459	0.000031825890	PASS
0.6	1000	-48721.044943216271	-48721.045049649780	0.000106433508	-52305.196055631655	-46331.610868272641	-52305.195964127481	-46331.610929162955	0.000091504175	0.000060890314	PASS
0.7	500	-15578.149051010245	-15578.149051005350	0.000000004895	-19764.293346351496	-13784.087210142012	-19764.293346331335	-13784.087210128655	0.000000020162	0.000000013357	PASS
0.7	600	-21103.600936809227	-21103.600936812873	0.000000003645	-25191.946820622063	-19351.452700892849	-25191.946820595989	-19351.452700874419	0.000000026073	0.000000018430	PASS
0.7	700	-27207.912115174171	-27207.912115178315	0.000000004144	-31192.850577251702	-25500.081345711184	-31192.850577218116	-25500.081345688013	0.000000033586	0.000000023170	PASS
0.7	800	-33821.326427054788	-33821.326559843597	0.000132788809	-37990.630598670752	-32034.481782076506	-37990.630511486917	-32034.481819377594	0.000087183835	0.000037301088	PASS
0.7	900	-40792.369434450600	-40792.369605869433	0.000171418833	-45342.448074235232	-38842.335731685787	-45342.447898016937	-38842.335807131392	0.000176218295	0.000075445605	PASS
