X(CU)	X(FE)	X(AL)	T(K)	CPU_GM	GPU_GM	GM_DIFF	CPU_MU_AL	CPU_MU_CU	CPU_MU_FE	GPU_MU_AL	GPU_MU_CU	GPU_MU_FE	MU_AL_DIFF	MU_CU_DIFF	MU_FE_DIFF	STATUS
0.3	0.3	0.4	600	-38819.546884831107	-34058.551985920290	4760.994898910816	-39747.885639962653	-39419.239917011131	-36982.068845914670	-20654.500496541124	-57647.079995315231	-55855.130567695109	19093.385143421528	18227.840078304100	18873.061721780439	FAIL
0.3	0.4	0.3	600	-37521.167886068026	-16689.080984538541	20832.086901529485	-52796.408546678882	-33423.666161839225	-29137.863684094518	-796916994468699264.000000000000	-796917010479376384.000000000000	-55855.130567695109	796916994468646528.000000000000	796917010479342976.000000000000	26717.266883600591	FAIL
0.4	0.1	0.5	600	-38103.613420191439	-36236.896752680477	1866.716667510962	-28937.450801481820	-47087.091746315156	-48000.513228054282	-23789.318189032732	-52809.546659124535	-48210.715010243315	5148.132612449088	5722.454912809379	210.201782189033	FAIL
0.4	0.2	0.4	600	-39049.950447597359	-36166.907620429920	2883.042827167439	-38440.826881435882	-40177.177632695857	-38013.743209685228	-23705.859925809040	-52934.230300625743	-48210.715010243315	14734.966955626842	12757.052667929886	10196.971800558087	FAIL
0.4	0.3	0.3	600	-37943.811681398613	-36092.285897049005	1851.525784349607	-51744.664774237928	-33820.661560665845	-29640.492083306050	-23615.334581749208	-53071.531646820666	-48210.715010243315	28129.330192488720	19250.870086154820	18570.222926937266	FAIL
0.4	0.4	0.2	600	-34535.135226261926	-36010.343444650061	1475.208218388136	-69643.573359364280	-28479.312500887609	-23036.738885244842	-23519.942438210528	-53219.760425136963	-48210.715010243315	46123.630921153752	24740.447924249354	25173.976124998473	FAIL
0.1	0.1	0.8	800	-41331.359805895096	-41868.076717427335	536.716911532239	-32164.808140413395	-69534.223909987631	-86460.909025654590	-31905.715842496826	-71004.185299141027	-84157.978187018773	259.092297916570	1469.961389153395	2302.930838635817	FAIL
0.1	0.2	0.7	800	-45767.720230512736	-43148.465862612080	2619.254367900656	-36133.240028238055	-63323.712437884184	-70710.404833906156	-39455.169956735503	-55565.863777943450	-84157.978187018773	3321.929928497448	7757.848659940733	13447.573353112617	FAIL
0.1	0.3	0.6	800	-48232.329602063561	-34763.070875388017	13469.258726675544	-42278.777621957546	-57353.135218689771	-57099.165020863948	-30018.487998371369	-76315.568114368216	-84157.978187018773	12260.289623586177	18962.432895678445	27058.813166154825	FAIL
0.1	0.4	0.5	800	-49412.289650270344	-36483.190902366550	12929.098747903794	-43549.311759902186	-56343.281728330345	-55008.263993706780	-32722.807864958064	-65484.328259706461	-84157.978187018773	10826.503894944122	9141.046531376116	29149.714193311993	FAIL
0.2	0.1	0.7	800	-44799.832318396773	-45583.081959097828	783.249640701055	-33796.963503593666	-66356.201908839925	-78707.174838552106	-28404.241642903951	-74089.909502651528	-80051.918596951931	5392.721860689715	7733.707593811603	1344.743758399825	FAIL
0.2	0.2	0.6	800	-48137.241348373747	-43101.145782693980	5036.095565679767	-39765.719942803873	-59543.945074943695	-61845.101839451658	-30421.024212960827	-73071.189663339901	-80051.918596951931	9344.695729843046	13527.244588396206	18206.816757500274	FAIL
0.2	0.3	0.5	800	-49544.979759869770	-45006.191129393090	4538.788630476680	-43520.289846282205	-56365.740795353428	-55038.955591975573	-39910.974982325111	-56893.841403705963	-80051.918596951931	3609.314863957094	528.100608352535	25012.963004976358	FAIL
0.2	0.4	0.4	800	-50053.426395003320	-28539.200522605661	21514.225872397659	-51655.687671062668	-51002.110317429164	-47976.823157846251	-1362769740144215040.000000000000	-1362769755543286016.000000000000	-80051.918596951931	1362769740144163328.000000000000	1362769755543235072.000000000000	32075.095439105680	FAIL
